date,accident_type,severity,weather_condition,road_condition,time_of_day,day_of_week,month,year,location_district,speed_limit,vehicles_involved,injuries,fatalities,property_damage,alcohol_involved,distracted_driving
2023-01-01,Collision,Minor,Clear,Good,Morning,Sunday,January,2023,Downtown,40,2,1,0,5000,False,True
2023-01-02,Pedestrian,Severe,Rainy,Fair,Evening,Monday,January,2023,Suburbs,30,1,2,1,12000,True,False
2023-01-03,Motorcycle,Fatal,Foggy,Poor,Night,Tuesday,January,2023,Highway,60,2,0,1,25000,True,True
2023-01-04,Bicycle,Moderate,Clear,Good,Afternoon,Wednesday,January,2023,Downtown,25,1,1,0,3000,False,False
2023-01-05,Rollover,Severe,Snowy,Icy,Night,Thursday,January,2023,Rural,50,3,3,1,40000,False,True
2023-01-06,Collision,Minor,Clear,Good,Morning,Friday,January,2023,Industrial,45,2,0,0,2000,False,False
2023-01-07,Pedestrian,Moderate,Rainy,Wet,Evening,Saturday,January,2023,Suburbs,35,1,2,0,8000,False,True
2023-01-08,Motorcycle,Severe,Windy,Fair,Afternoon,Sunday,January,2023,Highway,55,2,1,1,15000,True,False
2023-01-09,Bicycle,Minor,Clear,Good,Morning,Monday,January,2023,Downtown,30,1,0,0,1000,False,False
2023-01-10,Rollover,Fatal,Snowy,Poor,Night,Tuesday,January,2023,Highway,65,4,4,2,50000,True,True 